level_0,index,Participant,State,Activity,Minute,MET (Google Fit),Datetime,Watch Intensity,MET (Ainsworth),MET (Freedson),MET (VM3),model_classification,scaled_intensity,estimation
1706,1726,P405,lab,pushups,1,0.9079526888955538,2019-10-09 13:19:00,1.0568523290635643,3.8,1.4517280000000001,1.5729911447830085,1,1.7221364120932017,1.7221364120932017
1707,1727,P405,lab,pushups,2,0.9079526888955538,2019-10-09 13:20:00,1.5409481360698931,3.8,1.439008,1.53878,1,1.9154978320941252,1.9154978320941252
1708,1728,P405,lab,pushups,3,0.9079526888955538,2019-10-09 13:21:00,2.7062933595035386,3.8,1.439008,1.4585780596870697,1,2.380969343999779,2.380969343999779
1709,1729,P405,lab,pushups,4,0.9079526888955538,2019-10-09 13:22:00,1.8930026870292789,3.8,1.439008,0.9787699152435878,0,2.0561182772747313,1.5
1710,1730,P405,lab,pushups,5,0.9079526888955538,2019-10-09 13:23:00,1.1591450522871387,3.8,1.439008,0.8037278619559998,0,1.7629949899449473,1.5
1711,1731,P405,lab,breathing,1,0.7944586027836096,2019-10-09 13:25:00,3.7875262907150034,1.0,1.439008,0.668876,0,2.8128440512477124,1.5
1712,1732,P405,lab,breathing,2,0.7944586027836096,2019-10-09 13:26:00,0.03988702978568185,1.0,1.439008,0.668876,0,1.3159319965332354,1.3159319965332354
1713,1733,P405,lab,breathing,3,0.7944586027836096,2019-10-09 13:27:00,5.026303417413018,1.0,1.442188,0.6723279999999999,0,3.307646321410447,1.5
1714,1734,P405,lab,breathing,4,0.7944586027836096,2019-10-09 13:28:00,0.4355748986452102,1.0,1.439008,0.668876,0,1.473980810616059,1.473980810616059
1715,1735,P405,lab,breathing,5,0.7944586027836096,2019-10-09 13:29:00,2.888717230382654,1.0,1.439008,0.668876,0,2.4538345458972826,1.5
1716,1736,P405,lab,lie down,1,9.079526888955536,2019-10-09 13:32:00,5.44783433601516,1.3,1.524073,1.0002061908504567,0,3.476017573165864,1.5
1717,1737,P405,lab,lie down,2,9.079526888955536,2019-10-09 13:33:00,1.9806374972024228,1.3,1.439008,0.668876,0,2.0911220742325694,1.5
1718,1738,P405,lab,lie down,3,9.079526888955536,2019-10-09 13:34:00,6.798262999846148,1.3,1.439008,0.668876,0,4.015416593502547,1.5
1719,1739,P405,lab,lie down,4,9.079526888955536,2019-10-09 13:35:00,9.489538528042283,1.3,1.439008,0.668876,0,5.0903873951788725,1.5
1720,1740,P405,lab,lie down,5,9.079526888955536,2019-10-09 13:36:00,2.7869702803248484,1.3,1.439008,0.668876,0,2.4131939651295937,1.5
1721,1741,P404,lab,computer,1,0.8215984926144506,2019-10-08 13:24:00,1.8651947445088868,1.3,1.439008,0.681821,1,2.025575677171913,2.025575677171913
1722,1742,P404,lab,computer,2,0.8215984926144506,2019-10-08 13:25:00,1.2877602457867952,1.3,1.439008,0.668876,0,1.8009490376930295,1.5
1723,1743,P404,lab,computer,3,0.8215984926144506,2019-10-08 13:26:00,0.9979570215205944,1.3,1.439008,0.668876,0,1.6882132650276835,1.5
1724,1744,P404,lab,computer,4,0.8215984926144506,2019-10-08 13:27:00,0.9234062672406844,1.3,1.439008,0.668876,0,1.6592124252067642,1.5
1725,1745,P404,lab,computer,5,0.8215984926144506,2019-10-08 13:28:00,1.1098736681386174,1.3,1.439008,0.668876,0,1.7317497358952674,1.5
1726,1746,P404,lab,breathing,1,0.958531574716859,2019-10-08 13:32:00,0.03558074190087145,1.0,1.439008,0.668876,0,1.3138411932453742,1.3138411932453742
1727,1747,P404,lab,breathing,2,0.958531574716859,2019-10-08 13:33:00,0.07258903817232815,1.0,1.439008,0.668876,0,1.3282377165613408,1.3282377165613408
1728,1748,P404,lab,breathing,3,0.958531574716859,2019-10-08 13:34:00,0.05654366986537285,1.0,1.439008,0.668876,0,1.3219959399269892,1.3219959399269892
1729,1749,P404,lab,breathing,4,0.958531574716859,2019-10-08 13:35:00,0.02517352487827062,1.0,1.439008,0.668876,0,1.3097927025658462,1.3097927025658462
1730,1750,P404,lab,breathing,5,0.958531574716859,2019-10-08 13:36:00,0.02918678136982358,1.0,1.439008,0.668876,0,1.3113538914471123,1.3113538914471123
